,Pclass,Sex,Age,Parch,Fare,Embarked,Name_length,Has_Cabin,FamilySize,IsAlone,Title
rf,0.12594769492307809,0.1997119073628893,0.03241073955887679,0.021244069841342403,0.07190101137419441,0.02410467205108561,0.10846758997495426,0.06597906023144147,0.06562090835714578,0.013678750581935602,0.27093359574305637
et,0.11977803526817003,0.38012361462142885,0.030472078585390232,0.016712255786417225,0.055313774164954255,0.028526220308011718,0.046385859431580925,0.08251144853744727,0.0451474366325958,0.021928712818078892,0.17310056384592487
ada,0.03,0.01,0.014,0.062,0.038,0.01,0.702,0.012,0.05,0.004,0.068
gb,0.08719038886682691,0.010766779201185673,0.05108584768545443,0.011433770310617462,0.050724127233572155,0.026299724015860147,0.17922570699122747,0.03968275862761159,0.10789252714909317,0.007936375131149736,0.42776199478740123
mean,0.09072902976451876,0.15015057529637593,0.03199216645743036,0.027847523984594273,0.053984728193180204,0.022232654093739368,0.2590197890994407,0.05004331684912509,0.06716521803470868,0.011885959632791057,0.2349490385940956
